name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;896;0;575;3045;1097;3045;1074;0
header;207;180;207;219;1845;219;1845;180
A;1011;247;1011;275;1034;275;1034;247
B;987;617;987;634;995;634;995;617
B;1017;934;1017;961;1037;961;1037;934
D;989;986;989;1002;997;1002;997;986
B;848;1351;848;1370;862;1370;862;1351
C;1015;1601;1015;1630;1036;1630;1036;1601
A;900;1766;900;1781;908;1781;908;1766
B;774;1948;774;1967;788;1967;788;1948
D;1024;2277;1024;2305;1045;2305;1045;2277
A;682;2625;682;2645;695;2645;695;2625
B;612;2891;612;2906;633;2906;633;2891
